"Group","Intention","Freq","N","SurveyName","Country","StartYear"
"Not Married, Not Sexually Active","Unsure About Use",0.674874540835399,1762,"AMIR61FL.DTA","Armenia",2010
"Not Married, Not Sexually Active","Use Later",0.270608230586136,1762,"AMIR61FL.DTA","Armenia",2010
"Not Married, Not Sexually Active","Missing",0.00609459134964511,1762,"AMIR61FL.DTA","Armenia",2010
"Not Married, Sexually Active","Does Not Intend",0.809042897251895,2,"AMIR61FL.DTA","Armenia",2010
"Not Married, Sexually Active","Unsure About Use",0,2,"AMIR61FL.DTA","Armenia",2010
"Not Married, Sexually Active","Use Later",0.190957102748105,2,"AMIR61FL.DTA","Armenia",2010
"Not Married, Sexually Active","Missing",0,2,"AMIR61FL.DTA","Armenia",2010
"All Never Users","Does Not Intend",0.21699574864665,3072,"AMIR71FL.DTA","Armenia",2015
"All Never Users","Unsure About Use",0.55453609906983,3072,"AMIR71FL.DTA","Armenia",2015
"All Never Users","Use Later",0.22846815228352,3072,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal","Does Not Intend",0.72937373004582,635,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal","Unsure About Use",0.239441088993562,635,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal","Use Later",0.0311851809606176,635,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.119291320980659,359,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.521046057348477,359,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years","Use Later",0.359662621670864,359,"AMIR71FL.DTA","Armenia",2015
"Married, Wants Child within 2 Years","Does Not Intend",0.112392512619275,164,"AMIR71FL.DTA","Armenia",2015
"Married, Wants Child within 2 Years","Unsure About Use",0.531583406664326,164,"AMIR71FL.DTA","Armenia",2015
"Married, Wants Child within 2 Years","Use Later",0.356024080716399,164,"AMIR71FL.DTA","Armenia",2015
"Not Married, Not Sexually Active","Does Not Intend",0.0857691646700045,1911,"AMIR71FL.DTA","Armenia",2015
"Not Married, Not Sexually Active","Unsure About Use",0.659663942424537,1911,"AMIR71FL.DTA","Armenia",2015
"Not Married, Not Sexually Active","Use Later",0.254566892905459,1911,"AMIR71FL.DTA","Armenia",2015
"Not Married, Sexually Active","Does Not Intend",0,3,"AMIR71FL.DTA","Armenia",2015
