Group,Intention,Freq,N,SurveyName,Country,StartYear
All Never Users,Use Later,0.228140732,3177,AMIR61FL.DTA,Armenia,2010
All Never Users,Missing,0.004732697,3177,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",Does Not Intend,0.765121528,903,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",Unsure About Use,0.192748529,903,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",Use Later,0.039240836,903,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",Missing,0.002889107,903,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.102192282,369,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.496843106,369,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",Use Later,0.397154604,369,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",Missing,0.003810008,369,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",Does Not Intend,0.107738934,141,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",Unsure About Use,0.488053716,141,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",Use Later,0.40420735,141,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",Missing,0,141,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",Does Not Intend,0.048422637,1762,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",Unsure About Use,0.674874541,1762,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",Use Later,0.270608231,1762,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",Missing,0.006094591,1762,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",Does Not Intend,0.809042897,2,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",Unsure About Use,0,2,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",Use Later,0.190957103,2,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",Missing,0,2,AMIR61FL.DTA,Armenia,2010
All Never Users,Does Not Intend,0.282051739,2237,BDIR7RFL.DTA,Bangladesh,2017
All Never Users,Unsure About Use,0.021890429,2237,BDIR7RFL.DTA,Bangladesh,2017
All Never Users,Use Later,0.696057832,2237,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",Does Not Intend,0.619175098,770,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",Unsure About Use,0.035373848,770,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",Use Later,0.345451054,770,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.049438794,712,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.008804402,712,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",Use Later,0.941756804,712,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",Does Not Intend,0.041582593,348,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",Unsure About Use,0.019912118,348,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",Use Later,0.938505289,348,BDIR7RFL.DTA,Bangladesh,2017
"Not Married, Sexually Active",Does Not Intend,,407,BDIR7RFL.DTA,Bangladesh,2017
"Not Married, Sexually Active",Unsure About Use,,407,BDIR7RFL.DTA,Bangladesh,2017
"Not Married, Sexually Active",Use Later,,407,BDIR7RFL.DTA,Bangladesh,2017
All Never Users,Does Not Intend,0.58936091,3318,BDIR72FL.DTA,Bangladesh,2014
All Never Users,Never Had Sex,0.002142116,3318,BDIR72FL.DTA,Bangladesh,2014
All Never Users,Unsure About Use,0.038301017,3318,BDIR72FL.DTA,Bangladesh,2014
All Never Users,Use Later,0.370195958,3318,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",Does Not Intend,0.803980658,1387,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",Never Had Sex,0,1387,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",Unsure About Use,0.040457856,1387,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",Use Later,0.155561486,1387,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.171684743,972,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",Never Had Sex,0,972,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.048855516,972,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",Use Later,0.779459741,972,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",Does Not Intend,0.230266885,345,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",Never Had Sex,0,345,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",Unsure About Use,0.067976556,345,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",Use Later,0.701756559,345,BDIR72FL.DTA,Bangladesh,2014
"Not Married, Sexually Active",Does Not Intend,0.988474189,614,BDIR72FL.DTA,Bangladesh,2014
"Not Married, Sexually Active",Never Had Sex,0.011525811,614,BDIR72FL.DTA,Bangladesh,2014
"Not Married, Sexually Active",Unsure About Use,0,614,BDIR72FL.DTA,Bangladesh,2014
"Not Married, Sexually Active",Use Later,0,614,BDIR72FL.DTA,Bangladesh,2014
All Never Users,Does Not Intend,0.536066769,3249,BDIR61FL.DTA,Bangladesh,2011
All Never Users,Never Had Sex,0.002422387,3249,BDIR61FL.DTA,Bangladesh,2011
All Never Users,Unsure About Use,0.024793029,3249,BDIR61FL.DTA,Bangladesh,2011
All Never Users,Use Later,0.433930475,3249,BDIR61FL.DTA,Bangladesh,2011
All Never Users,Missing,0.00278734,3249,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",Does Not Intend,0.754174983,1187,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",Never Had Sex,0,1187,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",Unsure About Use,0.026942512,1187,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",Use Later,0.211365013,1187,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",Missing,0.007517492,1187,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.114036022,1003,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",Never Had Sex,0,1003,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.037780993,1003,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",Use Later,0.848182986,1003,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",Missing,0,1003,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",Does Not Intend,0.1428984,374,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",Never Had Sex,0,374,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",Unsure About Use,0.027946033,374,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",Use Later,0.829155567,374,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",Missing,0,374,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",Does Not Intend,0.988322154,685,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",Never Had Sex,0.011677846,685,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",Unsure About Use,0,685,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",Use Later,0,685,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",Missing,0,685,BDIR61FL.DTA,Bangladesh,2011
All Never Users,Does Not Intend,0.550495616,10972,BJIR71FL.DTA,Benin,2017
All Never Users,Unsure About Use,0.144556037,10972,BJIR71FL.DTA,Benin,2017
All Never Users,Use Later,0.304948347,10972,BJIR71FL.DTA,Benin,2017
"Infecund, Menopausal",Does Not Intend,0.798069264,1934,BJIR71FL.DTA,Benin,2017
"Infecund, Menopausal",Unsure About Use,0.080400484,1934,BJIR71FL.DTA,Benin,2017
"Infecund, Menopausal",Use Later,0.121530252,1934,BJIR71FL.DTA,Benin,2017
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.515118182,4241,BJIR71FL.DTA,Benin,2017
